problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190917_905379,place a spray bottle on top of a toilet cistern.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o SprayBottleType) 
                (receptacleType ?r ToiletType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject spraybottle)
(GotoLocation toilet)
(PutObject spraybottle toilet)","(GotoLocation bathroom)
(PickupObject spraybottle)
(GotoLocation toilet)
(PutObject spraybottle toilet)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(GotoLocation cabinet)
(PickupObject toiletroll)
(GotoLocation bathroom)
(PutObject toiletroll holder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletpaper)
(GotoLocation toiletpaperholder)
(PutObject toiletpaper toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletpaperroll)
(GotoLocation wall)
(PutObject toiletpaperroll toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(PickupObject toiletroll)
(GotoLocation toiletpaperholder)
(PutObject toiletroll toiletpaperholder)
"
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,to put an empty roll on the toilet paper holder on the wall.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o ToiletPaperType) 
                (receptacleType ?r ToiletPaperHangerType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation countertop)
(PickupObject toiletpaper)
(GotoLocation toiletpaperhanger)
(PutObject toiletpaper toiletpaperhanger)","(GotoLocation bathroom)
(GotoLocation cabinet)
(PickupObject toiletroll)
(GotoLocation wall)
(PutObject toiletroll holder)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,put the book in the desk cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation desk)
(OpenObject deskcabinet)
(GotoLocation bookshelf)
(PutObject book deskcabinet)
(CloseObject deskcabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,put the book in the desk cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation desk)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,put the book in the desk cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation deskcabinet)
(PutObject book deskcabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,put the book in the desk cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation desk)
(PutObject book desk)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154222_896076,put the book in the desk cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation desk)
(PutObject book desk)
(GotoLocation desk)
(PutObject book cabinet)
"
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"take the box from the kitchen table , put it on the red couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation kitchentable)
(PickupObject box)
(GotoLocation redcouch)
(PutObject box redcouch)
"
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"take the box from the kitchen table , put it on the red couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation kitchentable)
(PickupObject box)
(GotoLocation redcouch)
(PutObject box redcouch)
"
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"take the box from the kitchen table , put it on the red couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation kitchentable)
(PickupObject box)
(GotoLocation redcouch)
(PutObject box redcouch)
"
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"take the box from the kitchen table , put it on the red couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation kitchentable)
(PickupObject box)
(GotoLocation redcouch)
(PutObject box redcouch)
"
train/pick_and_place_simple-Box-None-Sofa-205/trial_T20190907_214830_497445,"take the box from the kitchen table , put it on the red couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation kitchentable)
(PickupObject box)
(GotoLocation redcouch)
(PutObject box redcouch)
"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation coffeetable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation table)
(PickupObject box)
(GotoLocation couch)
(PutObject box couch)
"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation coffeetable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation table)
(PickupObject box)
(GotoLocation couch)
(PutObject box couch)
"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation coffeetable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation table)
(PickupObject box)
(GotoLocation couch)
(PutObject box couch)
"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation coffeetable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation diningtable)
(PickupObject box)
(GotoLocation couch)
(PutObject box couch)
"
train/pick_and_place_simple-Box-None-Sofa-220/trial_T20190907_165527_462462,"take the box from the table , put it on the couch.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BoxType) 
                (receptacleType ?r SofaType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation coffeetable)
(PickupObject box)
(GotoLocation sofa)
(PutObject box sofa)","(GotoLocation table)
(PickupObject box)
(GotoLocation couch)
(PutObject box couch)
"
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,move the cd that ' s on top of the desk to on top of the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CDType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)
"
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,move the cd that ' s on top of the desk to on top of the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CDType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)
"
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,move the cd that ' s on top of the desk to on top of the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CDType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)
"
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,move the cd that ' s on top of the desk to on top of the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CDType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)
"
train/pick_and_place_simple-CD-None-Dresser-323/trial_T20190908_005459_168199,move the cd that ' s on top of the desk to on top of the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o CDType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)","(GotoLocation desk)
(PickupObject cd)
(GotoLocation dresser)
(PutObject cd dresser)
"
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,move pen from desk to shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PenType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)
"
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,move pen from desk to shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PenType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)
"
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,move pen from desk to shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PenType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)
"
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,move pen from desk to shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PenType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)
"
train/pick_and_place_simple-Pen-None-Shelf-310/trial_T20190909_113535_223329,move pen from desk to shelf.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PenType) 
                (receptacleType ?r ShelfType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)","(GotoLocation desk)
(PickupObject pen)
(GotoLocation shelf)
(PutObject pen shelf)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,move a book into a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,move a book into a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,move a book into a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,move a book into a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Book-None-Cabinet-310/trial_T20190908_154238_160623,move a book into a cabinet.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o BookType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation bed)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)","(GotoLocation bookshelf)
(PickupObject book)
(GotoLocation cabinet)
(PutObject book cabinet)
"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,move the plunger from next to the toilet to the cupboard under the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlungerType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation plunger)
(PickupObject plunger)
(GotoLocation cabinet)
(PutObject plunger cabinet)","(GotoLocation toilet)
(PickupObject plunger)
(GotoLocation sink)
(PutObject plunger sink)
(GotoLocation cupboard)
(PutObject plunger cupboard)
"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,move the plunger from next to the toilet to the cupboard under the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlungerType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation plunger)
(PickupObject plunger)
(GotoLocation cabinet)
(PutObject plunger cabinet)","(GotoLocation toilet)
(PickupObject plunger)
(GotoLocation sinkcupboard)
(PutObject plunger sinkcupboard)
"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,move the plunger from next to the toilet to the cupboard under the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlungerType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation plunger)
(PickupObject plunger)
(GotoLocation cabinet)
(PutObject plunger cabinet)","(GotoLocation bathroom)
(PickupObject plunger)
(GotoLocation sink)
(OpenObject cupboard)
(PutObject plunger cupboard)
"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,move the plunger from next to the toilet to the cupboard under the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlungerType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation plunger)
(PickupObject plunger)
(GotoLocation cabinet)
(PutObject plunger cabinet)","(GotoLocation toiletnext)
(PickupObject plunger)
(GotoLocation sinkcupboard)
(PutObject plunger sinkcupboard)
"
train/pick_and_place_simple-Plunger-None-Cabinet-405/trial_T20190908_120726_695995,move the plunger from next to the toilet to the cupboard under the sink.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PlungerType) 
                (receptacleType ?r CabinetType)
                (inReceptacle ?o ?r) 
            )
    )))","(GotoLocation plunger)
(PickupObject plunger)
(GotoLocation cabinet)
(PutObject plunger cabinet)","(GotoLocation toilet)
(PickupObject plunger)
(GotoLocation sink)
(PutObject plunger sink)
(GotoLocation cupboard)
(PutObject plunger cupboard)
"
