problem,nl_goal,gt_pddl_goal,codex_raw_goals,codex_preprocessed_goal,correct_pddl_goal
train/pick_heat_then_place_in_recep-PotatoSliced-None-Fridge-18/trial_T20190912_110736_098163,"slice a potato , cook it in the microwave , and put it in the refrigerator.","(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o PotatoType) 
                (receptacleType ?r FridgeType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o)
                (sliceable ?o)
                (isSliced ?o)  
            )
    )))","['\n;; PDDL guess 1 for ""slice a potato , cook it in the microwave , and put it in the refrigerator.""\n;; Official goal name: pick_heat_then_place_in_recep-PotatoSliced-None-Fridge\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o)\n                (heatable ?o)\n                (isHot ?o)  \n            )\n    )))\n', '\n;; PDDL guess 2 for ""slice a potato , cook it in the microwave , and put it in the refrigerator.""\n;; Official goal name: pick_heat_then_place_in_recep-PotatoSliced-None-Fridge\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o)\n                (heatable ?o)\n                (isHot ?o)  \n            )\n    )))\n', '\n;; PDDL guess 3 for ""slice a potato , cook it in the microwave , and put it in the refrigerator.""\n;; Official goal name: pick_heat_then_place_in_recep-PotatoSliced-None-Fridge\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o)\n                (heatable ?o)\n                (isHot ?o)  \n            )\n    )))\n', '\n;; PDDL guess 4 for ""slice a potato , cook it in the microwave , and put it in the refrigerator.""\n;; Official goal name: pick_heat_then_place_in_recep-PotatoSliced-None-Fridge\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (sliceable ?o)\n                (isSliced ?o)\n                (heatable ?o)\n                (isHot ?o)  \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o)
		(heatable ?o)
		(isHot ?o))))
)",True
train/pick_and_place_simple-AlarmClock-None-Dresser-319/trial_T20190908_002730_200712,move a clock to the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AlarmClockType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-AlarmClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AlarmClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 2 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Clock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 3 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Watch-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WatchType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 4 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-WallClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WallClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AlarmClockType)
		(receptacleType ?r DresserType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-AlarmClock-None-Dresser-319/trial_T20190908_002730_200712,move a clock to the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AlarmClockType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-AlarmClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AlarmClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 2 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Clock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 3 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Watch-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WatchType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 4 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-WallClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WallClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(receptacleType ?r DresserType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-AlarmClock-None-Dresser-319/trial_T20190908_002730_200712,move a clock to the dresser.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o AlarmClockType) 
                (receptacleType ?r DresserType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-AlarmClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AlarmClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 2 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Clock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 3 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-Watch-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WatchType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n"", ""\n;; PDDL guess 4 for 'move a clock to the dresser.'\n;; Simplified Goal: \npick_and_place_simple-WallClock-None-Dresser\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o WallClockType) \n                (receptacleType ?r DresserType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n\n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o WatchType)
		(receptacleType ?r DresserType)
		(inReceptacle ?o ?r))))
)",True
train/pick_heat_then_place_in_recep-Egg-None-GarbageCan-8/trial_T20190909_120617_866099,put a microwaved egg in the garbage.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-GarbageCan\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-Garbage\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r GarbageType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-TrashCan\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r TrashCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-Trash\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r TrashType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r GarbageCanType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",True
train/pick_heat_then_place_in_recep-Egg-None-GarbageCan-8/trial_T20190909_120617_866099,put a microwaved egg in the garbage.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o EggType) 
                (receptacleType ?r GarbageCanType)
                (inReceptacle ?o ?r)
                (heatable ?o)
                (isHot ?o) 
            )
    )))","['\n;; PDDL guess 1 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-GarbageCan\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-Garbage\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r GarbageType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-TrashCan\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r TrashCanType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""put a microwaved egg in the garbage.""\n;; Official goal name: pick_heat_then_place_in_recep-Egg-None-Trash\n\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r TrashType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",True
train/look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115824_746935,examine a pen next to the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PenType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-TableLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot TableLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-FloorLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o PenType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l))))))
)",False
train/look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115824_746935,examine a pen next to the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PenType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-TableLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot TableLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-FloorLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o PenType)
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l))))))
)",False
train/look_at_obj_in_light-Pen-None-DeskLamp-305/trial_T20190907_115824_746935,examine a pen next to the light of a lamp.,"(:goal
        (exists (?a - agent)
        (exists (?r - receptacle)
        (exists (?o - object)
        (exists (?ot - object)
        (exists (?l - location)
            (and 
                (objectType ?ot DeskLampType)
                (toggleable ?ot)
                (isToggled ?ot) 
                (objectAtLocation ?ot ?l)
                (atLocation ?a ?l)
                (objectType ?o PenType)
                (holds ?a ?o)
            )
    ))))))","[""\n;; PDDL guess 1 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 2 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-TableLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot TableLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 3 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-FloorLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n"", ""\n;; PDDL guess 4 for 'examine a pen next to the light of a lamp.'\n;; Official goal name: look_at_obj_in_light-Pen-None-DeskLamp\n(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?o PenType) \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n            )\n    ))))))\n""]","(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o PenType)
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l))))))
)",False
train/pick_and_place_simple-Vase-None-Safe-204/trial_T20190919_000336_714640,put a blue vase in the safe on the floor.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o VaseType) 
                (receptacleType ?r SafeType)
                (inReceptacle ?o ?r) 
            )
    )))","[""\n;; PDDL guess 1 for 'put a blue vase in the safe on the floor.'\n;; Simplified Goal: \npick_and_place_simple-Vase-None-Safe\n\n(:goal\n         (exists (?r - receptacle)\n         (exists (?o - object)\n             (and \n                 (objectType ?o VaseType) \n                 (receptacleType ?r SafeType)\n                 (inReceptacle ?o ?r) \n             )\n     )))                 \n"", ""\n;; PDDL guess 2 for 'put a blue vase in the safe on the floor.'\n;; Simplified Goal: \npick_and_place_simple-Vase-None-Safe\n\n(:goal\n         (exists (?r - receptacle)\n         (exists (?o - object)\n             (and \n                 (objectType ?o VaseType) \n                 (receptacleType ?r SafeType)\n                 (inReceptacle ?o ?r) \n             )\n     )))                 \n"", ""\n;; PDDL guess 3 for 'put a blue vase in the safe on the floor.'\n;; Simplified Goal: \npick_and_place_simple-Vase-None-Safe\n\n(:goal\n         (exists (?r - receptacle)\n         (exists (?o - object)\n             (and \n                 (objectType ?o VaseType) \n                 (receptacleType ?r SafeType)\n                 (inReceptacle ?o ?r) \n             )\n     )))                 \n"", ""\n;; PDDL guess 4 for 'put a blue vase in the safe on the floor.'\n;; Simplified Goal: \npick_and_place_simple-Vase-None-Safe\n\n(:goal\n         (exists (?r - receptacle)\n         (exists (?o - object)\n             (and \n                 (objectType ?o VaseType) \n                 (receptacleType ?r SafeType)\n                 (inReceptacle ?o ?r) \n             )\n     )))                 \n""]","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o VaseType)
		(receptacleType ?r SafeType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_020906_064567,move the remote from the table to a chair.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o RemoteControlType) 
                (receptacleType ?r ArmChairType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-RemoteControl-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o RemoteControlType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-TennisRacket-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TennisRacketType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-CellPhone-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CellPhoneType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-Pen-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o CellPhoneType)
		(receptacleType ?r ArmChairType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_020906_064567,move the remote from the table to a chair.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o RemoteControlType) 
                (receptacleType ?r ArmChairType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-RemoteControl-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o RemoteControlType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-TennisRacket-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TennisRacketType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-CellPhone-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CellPhoneType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-Pen-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o RemoteControlType)
		(receptacleType ?r ArmChairType)
		(inReceptacle ?o ?r))))
)",True
train/pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_020906_064567,move the remote from the table to a chair.,"(:goal
        (exists (?r - receptacle)
        (exists (?o - object)
            (and 
                (objectType ?o RemoteControlType) 
                (receptacleType ?r ArmChairType)
                (inReceptacle ?o ?r) 
            )
    )))","['\n;; PDDL guess 1 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-RemoteControl-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o RemoteControlType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 2 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-TennisRacket-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TennisRacketType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 3 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-CellPhone-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o CellPhoneType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n', '\n;; PDDL guess 4 for ""move the remote from the table to a chair.""\n;; Official goal name: pick_and_place_simple-Pen-None-ArmChair\n(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PenType) \n                (receptacleType ?r ArmChairType)\n                (inReceptacle ?o ?r) \n            )\n    )))\n']","(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TennisRacketType)
		(receptacleType ?r ArmChairType)
		(inReceptacle ?o ?r))))
)",True
