problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-229/trial_T20190907_184408_159194,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_768 env_state env remotecontrol)\n(ToggleObjectOn_202 env_state env floorlamp)')",False,"PickupObject_768, ToggleObjectOn_202",PickupObject_768
train/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-11/trial_T20190907_164503_292853,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CoffeeMachineType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_52 env_state env mug)\n(HeatObject_129 env_state env mug microwave)\n(PutObjectInReceptacle_335 env_state env mug coffeemachine)')",False,"PickupObject_52, HeatObject_129, PutObjectInReceptacle_335","PickupObject_52, HeatObject_129"
train/pick_and_place_simple-TomatoSliced-None-SideTable-28/trial_T20190908_213552_035696,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_231 env_state env tomato)\n(PutObjectInReceptacle_699 env_state env tomato countertop)\n(SliceObject_229 env_state env tomato)')",False,"PickupObject_231, PutObjectInReceptacle_699, SliceObject_229",
train/pick_heat_then_place_in_recep-Potato-None-SideTable-28/trial_T20190907_075841_463460,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SideTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_278 env_state env potato)\n(HeatObject_147 env_state env potato microwave)\n(PutObjectInReceptacle_242 env_state env potato sidetable)')",True,"PickupObject_278, HeatObject_147, PutObjectInReceptacle_242","PickupObject_278, HeatObject_147, PutObjectInReceptacle_242"
train/pick_heat_then_place_in_recep-TomatoSliced-None-Fridge-5/trial_T20190908_061406_498045,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_656 env_state env tomato)\n(SliceObject_293 env_state env tomato)\n(ToggleObjectOn_30 env_state env stoveburner tomato)\n(PutObjectInReceptacle_282 env_state env tomato fridge)')",False,"PickupObject_656, SliceObject_293, ToggleObjectOn_30, PutObjectInReceptacle_282",
train/pick_clean_then_place_in_recep-SoapBar-None-GarbageCan-421/trial_T20190907_041233_785188,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SoapBarType) \n                (receptacleType ?r GarbageCanType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_843 env_state env soapbar)\n(CleanObject_22 env_state env soapbar)\n(PutObjectInReceptacle_124 env_state env soapbar garbagecan)')",False,"PickupObject_843, CleanObject_22, PutObjectInReceptacle_124",PickupObject_843
train/pick_and_place_simple-PotatoSliced-None-SinkBasin-25/trial_T20190907_062007_896057,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_202 env_state env potato)\n(PutObjectInReceptacle_280 env_state env potato sinkbasin)\n(PickupObject_405 env_state env knife)\n(SliceObject_82 env_state env potato)')",False,"PickupObject_202, PutObjectInReceptacle_280, PickupObject_405, SliceObject_82",
train/pick_clean_then_place_in_recep-Tomato-None-CounterTop-14/trial_T20190909_012732_375728,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_118 env_state env tomato)\n(CleanObject_19 env_state env tomato sinkbasin)\n(PutObjectInReceptacle_843 env_state env tomato countertop)')",False,"PickupObject_118, CleanObject_19, PutObjectInReceptacle_843",PickupObject_118
train/pick_heat_then_place_in_recep-Potato-None-SinkBasin-26/trial_T20190909_095444_078134,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_970 env_state env potato)\n(HeatObject_134 env_state env potato microwave)\n(PutObjectInReceptacle_812 env_state env potato sinkbasin)')",False,"PickupObject_970, HeatObject_134, PutObjectInReceptacle_812",PickupObject_970
train/look_at_obj_in_light-Statue-None-DeskLamp-218/trial_T20190909_085327_810149,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o StatueType)\n                (holds ?a ?o)\n            )\n    ))))))', '(EnsureLightIsOn_0 env_state env desklamp)\n(TransportObject_0 env_state env statue desklamp)')",False,"EnsureLightIsOn_0, TransportObject_0",EnsureLightIsOn_0
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot FloorLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o RemoteControlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(ToggleObjectOn_76 env_state env floorlamp)\n(PickupObject_254 env_state env remotecontrol)\n(PutObjectInReceptacle_179 env_state env remotecontrol coffeetable)')",False,"ToggleObjectOn_76, PickupObject_254, PutObjectInReceptacle_179","ToggleObjectOn_76, PickupObject_254"
train/pick_and_place_simple-Glassbottle-None-Fridge-16/trial_T20190908_045933_322597,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o GlassbottleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_929 env_state env vase)\n(OpenReceptacle_0 env_state env fridge)\n(PutObjectInReceptacle_350 env_state env vase fridge)\n(CloseReceptacle_0 env_state env fridge)')",False,"PickupObject_929, OpenReceptacle_0, PutObjectInReceptacle_350, CloseReceptacle_0",
train/pick_heat_then_place_in_recep-BreadSliced-None-Fridge-2/trial_T20190909_075013_874186,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o BreadType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_458 env_state env bread)\n(SliceObject_137 env_state env bread)\n(PutObjectInReceptacle_432 env_state env bread fridge)')",False,"PickupObject_458, SliceObject_137, PutObjectInReceptacle_432",
train/pick_heat_then_place_in_recep-Egg-None-SinkBasin-8/trial_T20190907_001539_470934,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o EggType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_723 env_state env egg)\n(HeatObject_10 env_state env egg stoveburner)\n(PickupObject_819 env_state env egg)\n(PutObjectInReceptacle_235 env_state env egg sinkbasin)')",False,"PickupObject_723, HeatObject_10, PickupObject_819, PutObjectInReceptacle_235",PickupObject_723
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220047_928975,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o LettuceType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r) \n                (sliceable ?o)\n                (isSliced ?o) \n            )\n    )))', '(PickupObject_452 env_state env lettuce)\n(PutObjectInReceptacle_167 env_state env lettuce diningtable)\n(PickupObject_1105 env_state env knife)\n(SliceObject_307 env_state env lettuce)')",False,"PickupObject_452, PutObjectInReceptacle_167, PickupObject_1105, SliceObject_307",
train/pick_cool_then_place_in_recep-PotatoSliced-None-SinkBasin-13/trial_T20190919_030951_364977,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(SliceObject_228 env_state env potato)\n(CoolObject_94 env_state env potato fridge)\n(PutObjectInReceptacle_259 env_state env potato sinkbasin)')",False,"SliceObject_228, CoolObject_94, PutObjectInReceptacle_259",
train/pick_heat_then_place_in_recep-TomatoSliced-None-SinkBasin-4/trial_T20190909_064937_166184,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_777 env_state env tomato)\n(SliceObject_120 env_state env tomato)\n(ToggleObjectOn_64 env_state env stoveburner)\n(PutObject_18 env_state env tomato stoveburner)\n(PickupObject_27 env_state env tomato)\n(PutObject_100 env_state env tomato sinkbasin)')",False,"PickupObject_777, SliceObject_120, ToggleObjectOn_64, PutObject_18, PickupObject_27, PutObject_100",PickupObject_777
train/pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-25/trial_T20190907_212022_934468,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ButterKnifeType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_85 env_state env knife)\n(EnsureObjectIsClean_2 env_state env knife)\n(PutObjectInReceptacle_116 env_state env knife sinkbasin)')",False,"PickupObject_85, EnsureObjectIsClean_2, PutObjectInReceptacle_116",PickupObject_85
train/pick_heat_then_place_in_recep-Mug-None-Cabinet-30/trial_T20190909_044538_375844,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_984 env_state env mug)\n(HeatObject_135 env_state env mug microwave)\n(PickupObject_1069 env_state env mug)\n(PutObjectInReceptacle_698 env_state env mug cabinet)')",False,"PickupObject_984, HeatObject_135, PickupObject_1069, PutObjectInReceptacle_698","PickupObject_984, HeatObject_135, PickupObject_1069"
train/pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190917_905379,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SprayBottleType) \n                (receptacleType ?r ToiletType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_1029 env_state env spraybottle)\n(PutObjectOnReceptacle_17 env_state env spraybottle toilet)')",True,"PickupObject_1029, PutObjectOnReceptacle_17","PickupObject_1029, PutObjectOnReceptacle_17"
train/pick_cool_then_place_in_recep-PotatoSliced-None-Microwave-2/trial_T20190909_094553_729319,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '')",False,,
train/pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-426/trial_T20190909_044756_658872,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o ToiletPaperType) \n                (receptacleType ?r ToiletPaperHangerType)\n                (inReceptacle ?o ?r) \n            )\n    )))', '(PickupObject_723 env_state env toiletpaperroll)\n(PutObjectInReceptacle_158 env_state env toiletpaperroll toiletpaperhanger)')",False,"PickupObject_723, PutObjectInReceptacle_158",
train/pick_cool_then_place_in_recep-PotatoSliced-None-Microwave-5/trial_T20190914_020559_534073,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PotatoType) \n                (receptacleType ?r MicrowaveType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1130 env_state env potato)\n(SliceObject_300 env_state env potato)\n(CoolObject_68 env_state env potato)\n(OpenObject_41 env_state env microwave)\n(PutObjectInReceptacle_48 env_state env potato microwave)')",False,"PickupObject_1130, SliceObject_300, CoolObject_68, OpenObject_41, PutObjectInReceptacle_48",PickupObject_1130
train/pick_heat_then_place_in_recep-Apple-None-SinkBasin-24/trial_T20190909_040401_888395,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_972 env_state env apple)\n(HeatObject_20 env_state env apple stoveburner)\n(PickupObject_385 env_state env apple)\n(PutObjectInReceptacle_24 env_state env apple sinkbasin)')",False,"PickupObject_972, HeatObject_20, PickupObject_385, PutObjectInReceptacle_24",PickupObject_972
train/pick_cool_then_place_in_recep-Mug-None-Cabinet-22/trial_T20190908_144232_130522,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_871 env_state env mug)\n(CoolObject_106 env_state env mug fridge)\n(PutObjectInReceptacle_477 env_state env mug cabinet)')",False,"PickupObject_871, CoolObject_106, PutObjectInReceptacle_477",
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-6/trial_T20190907_182032_987487,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r FridgeType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1050 env_state env apple)\n(SliceObject_232 env_state env apple)\n(ToggleObjectOn_160 env_state env stoveburner)\n(PutObject_90 env_state env apple stoveburner)\n(PickupObject_963 env_state env apple)\n(PutObjectInReceptacle_440 env_state env apple fridge)')",False,"PickupObject_1050, SliceObject_232, ToggleObjectOn_160, PutObject_90, PickupObject_963, PutObjectInReceptacle_440",
train/look_at_obj_in_light-Bowl-None-DeskLamp-302/trial_T20190908_030636_661532,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_600 env_state env bowl)\n(ToggleObjectOn_116 env_state env floorlamp)')",False,"PickupObject_600, ToggleObjectOn_116",PickupObject_600
train/pick_heat_then_place_in_recep-Apple-None-CounterTop-2/trial_T20190908_112534_364453,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r CounterTopType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_419 env_state env apple)\n(HeatObject_11 env_state env apple microwave)\n(PutObjectInReceptacle_490 env_state env apple countertop)')",True,"PickupObject_419, HeatObject_11, PutObjectInReceptacle_490","PickupObject_419, HeatObject_11, PutObjectInReceptacle_490"
train/pick_cool_then_place_in_recep-Plate-None-Cabinet-22/trial_T20190908_084019_408981,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o PlateType) \n                (receptacleType ?r CabinetType)\n                (inReceptacle ?o ?r)\n                (coolable ?o)\n                (isCool ?o) \n            )\n    )))', '(PickupObject_1059 env_state env plate)\n(CoolObject_168 env_state env plate fridge)\n(PutObjectInReceptacle_834 env_state env plate cabinet)')",False,"PickupObject_1059, CoolObject_168, PutObjectInReceptacle_834","PickupObject_1059, CoolObject_168"
train/pick_heat_then_place_in_recep-Mug-None-Shelf-20/trial_T20190907_054109_225243,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o MugType) \n                (receptacleType ?r ShelfType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o) \n            )\n    )))', '(PickupObject_712 env_state env cup)\n(HeatObject_131 env_state env cup microwave)\n(PutObjectInReceptacle_393 env_state env cup shelf)')",False,"PickupObject_712, HeatObject_131, PutObjectInReceptacle_393",
train/pick_heat_then_place_in_recep-AppleSliced-None-DiningTable-17/trial_T20190908_095621_618627,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(OpenObject_35 env_state env fridge)\n(PickupObject_756 env_state env apple)\n(SliceObject_48 env_state env apple)\n(ToggleObjectOn_119 env_state env stoveburner)\n(PutObject_81 env_state env apple stoveburner)\n(PickupObject_970 env_state env apple)\n(PutObjectInReceptacle_842 env_state env apple diningtable)')",False,"OpenObject_35, PickupObject_756, SliceObject_48, ToggleObjectOn_119, PutObject_81, PickupObject_970, PutObjectInReceptacle_842",
train/pick_heat_then_place_in_recep-AppleSliced-None-DiningTable-15/trial_T20190907_224100_128711,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o AppleType) \n                (receptacleType ?r DiningTableType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_848 env_state env apple)\n(SliceObject_29 env_state env apple)\n(HeatObject_136 env_state env apple microwave)\n(PutObjectInReceptacle_626 env_state env apple diningtable)')",False,"PickupObject_848, SliceObject_29, HeatObject_136, PutObjectInReceptacle_626",PickupObject_848
train/pick_clean_then_place_in_recep-Spoon-None-Drawer-5/trial_T20190907_080537_064131,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o SpoonType) \n                (receptacleType ?r DrawerType)\n                (inReceptacle ?o ?r)\n                (cleanable ?o)\n                (isClean ?o) \n            )\n    )))', '(PickupObject_578 env_state env spoon)\n(CleanObject_0 env_state env spoon)\n(PickupObject_976 env_state env spoon)\n(PutObjectInReceptacleWithObject_0 env_state env spoon drawer fork)')",False,"PickupObject_578, CleanObject_0, PickupObject_976, PutObjectInReceptacleWithObject_0",PickupObject_578
train/pick_heat_then_place_in_recep-TomatoSliced-None-SinkBasin-15/trial_T20190909_020319_726874,"('(:goal\n        (exists (?r - receptacle)\n        (exists (?o - object)\n            (and \n                (objectType ?o TomatoType) \n                (receptacleType ?r SinkBasinType)\n                (inReceptacle ?o ?r)\n                (heatable ?o)\n                (isHot ?o)\n                (sliceable ?o)\n                (isSliced ?o)  \n            )\n    )))', '(PickupObject_1092 env_state env tomato)\n(SliceObject_16 env_state env tomato)\n(ToggleObjectOn_92 env_state env stoveburner)\n(PutObject_10 env_state env tomato stoveburner)\n(PutObject_83 env_state env tomato sinkbasin)')",False,"PickupObject_1092, SliceObject_16, ToggleObjectOn_92, PutObject_10, PutObject_83",PickupObject_1092
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,"('(:goal\n        (exists (?a - agent)\n        (exists (?r - receptacle)\n        (exists (?o - object)\n        (exists (?ot - object)\n        (exists (?l - location)\n            (and \n                (objectType ?ot DeskLampType)\n                (toggleable ?ot)\n                (isToggled ?ot) \n                (objectAtLocation ?ot ?l)\n                (atLocation ?a ?l)\n                (objectType ?o BowlType)\n                (holds ?a ?o)\n            )\n    ))))))', '(PickupObject_1065 env_state env bowl)\n(ToggleObjectOn_154 env_state env desklamp)')",True,"PickupObject_1065, ToggleObjectOn_154","PickupObject_1065, ToggleObjectOn_154"
